CRIM,ZN,INDUS,CHAS,NOX,RM
0.02985,0.00,2.180,0,0.4580,6.4300
0.08387,0.00,12.830,0,0.4370,5.8740
0.04462,25.00,4.860,0,0.4260,6.6190
0.05188,0.00,4.490,0,0.4490,6.0150
0.04203,28.00,15.040,0,0.4640,6.4420
0.22876,0.00,8.560,0,0.5200,6.4050
0.13117,0.00,8.560,0,0.5200,6.1270
0.13158,0.00,10.010,0,0.5470,6.1760
0.09299,0.00,25.650,0,0.5810,5.9610
4.09740,0.00,19.580,0,0.8710,5.4680
2.14918,0.00,19.580,0,0.8710,5.7090
0.22489,12.50,7.870,0,0.5240,6.3770
1.51902,0.00,19.580,1,0.6050,8.3750
2.01019,0.00,19.580,0,0.6050,7.9290
2.30040,0.00,19.580,0,0.6050,6.3190
0.03445,82.50,2.030,0,0.4150,6.1620
0.02177,82.50,2.030,0,0.4150,7.6100
0.17446,0.00,10.590,1,0.4890,5.9600
0.19802,0.00,10.590,0,0.4890,6.1820
0.57529,0.00,6.200,0,0.5070,8.3370
0.44791,0.00,6.200,1,0.5070,6.7260
0.10290,30.00,4.930,0,0.4280,6.3580
0.75026,0.00,8.140,0,0.5380,5.9240
0.09065,20.00,6.960,1,0.4640,5.9200
0.07978,40.00,6.410,0,0.4470,6.4820
0.03502,80.00,4.950,0,0.4110,6.8610
0.08265,0.00,13.920,0,0.4370,6.1270
0.34109,0.00,7.380,0,0.4930,6.4150
0.03041,0.00,5.190,0,0.5150,5.8950
0.01870,85.00,4.150,0,0.4290,6.5160
0.10659,80.00,1.910,0,0.4130,5.9360
13.52220,0.00,18.100,0,0.6310,3.8630
6.96215,0.00,18.100,0,0.7000,5.7130
1.35472,0.00,8.140,0,0.5380,6.0720
14.23620,0.00,18.100,0,0.6930,6.3430
24.80170,0.00,18.100,0,0.6930,5.3490
11.08740,0.00,18.100,0,0.7180,6.4110
15.86030,0.00,18.100,0,0.6790,5.8960
5.66637,0.00,18.100,0,0.7400,6.2190
5.09017,0.00,18.100,0,0.7130,6.2970
8.24809,0.00,18.100,0,0.7130,7.3930
13.07510,0.00,18.100,0,0.5800,5.7130
10.23300,0.00,18.100,0,0.6140,6.1850
3.67367,0.00,18.100,0,0.5830,6.3120
0.02763,75.00,2.950,0,0.4280,6.5950
4.83567,0.00,18.100,0,0.5830,5.9050
0.17142,0.00,6.910,0,0.4480,5.6820
0.01360,75.00,4.000,0,0.4100,5.8880
0.01311,90.00,1.220,0,0.4030,7.2490
0.10153,0.00,12.830,0,0.4370,6.2790
